State,Senator,url_link_final
Tennessee,Lamar Alexander,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Lamar_Alexander_official_photo_%28cropped%29.jpg/409px-Lamar_Alexander_official_photo_%28cropped%29.jpg
Tennessee,Marsha Blackburn,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/451px-Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg
Texas,John Cornyn,https://upload.wikimedia.org/wikipedia/commons/e/e4/John_Cornyn_%28cropped%29.jpg
Texas,Ted Cruz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Ted_Cruz_official_116th_portrait_%28cropped%29.jpg/576px-Ted_Cruz_official_116th_portrait_%28cropped%29.jpg
Utah,Mike Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Mike_Lee%2C_official_portrait_%28cropped%29.jpg/477px-Mike_Lee%2C_official_portrait_%28cropped%29.jpg
Utah,Mitt Romney,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Mitt_Romney_official_US_Senate_portrait_%28cropped%29.jpg/448px-Mitt_Romney_official_US_Senate_portrait_%28cropped%29.jpg
Vermont,Patrick Leahy,https://upload.wikimedia.org/wikipedia/commons/4/46/Patrick_Leahy_official_photo_%28cropped%29.jpg
Vermont,Bernard Sanders,https://upload.wikimedia.org/wikipedia/commons/7/73/Bernie_Sanders_%28cropped%29.jpg
Virginia,Mark Warner,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mark_Warner_113th_Congress_photo_%28cropped%29.jpg/428px-Mark_Warner_113th_Congress_photo_%28cropped%29.jpg
Virginia,Timothy Kaine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Tim_Kaine_116th_official_portrait_%28cropped%29.jpg/490px-Tim_Kaine_116th_official_portrait_%28cropped%29.jpg
Washington,Patty Murray,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/455px-Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Washington,Maria Cantwell,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Maria_Cantwell_%28cropped%29.jpg/482px-Maria_Cantwell_%28cropped%29.jpg
West Virginia,Joe Manchin,https://upload.wikimedia.org/wikipedia/commons/c/cc/Senator_Manchin_%28cropped%29.jpg
West Virginia,Shelley Capito,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Shelley_Moore_Capito_official_Senate_photo_%28cropped_2%29.jpg/445px-Shelley_Moore_Capito_official_Senate_photo_%28cropped_2%29.jpg
Wisconsin,Ron Johnson,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/464px-Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg
Wisconsin,Tammy Baldwin,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Tammy_Baldwin%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/446px-Tammy_Baldwin%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg
Wyoming,Michael Enzi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/MIke_Enzi_official_portrait_115th_Congress_%28cropped%29.jpg/498px-MIke_Enzi_official_portrait_115th_Congress_%28cropped%29.jpg
Wyoming,John Barrasso,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/John_Barrasso_official_portrait_112th_Congress_%28cropped%29.jpg/614px-John_Barrasso_official_portrait_112th_Congress_%28cropped%29.jpg
